chrom.i.,start.i.,end.i.,chrom.j.,start.j.,end.j.,interaction,Tes,GC,Acc
chr2L,84000,86000,2L,172000,174000,22,2,0.364067966,96.83569183
chr2L,84000,86000,2L,174000,176000,8,1,0.352073963,94.46112523
chr2L,84000,86000,2L,176000,178000,14,1.5,0.348575712,89.78232443
chr2L,84000,86000,2L,178000,180000,26,2,0.384057971,104.4140164
chr2L,84000,86000,2L,180000,182000,12,1,0.395302349,117.311084
chr2L,84000,86000,2L,182000,184000,7,4.5,0.369065467,256.321065
chr2L,84000,86000,2L,184000,186000,15,1.5,0.452523738,114.3624303
chr2L,84000,86000,2L,186000,188000,18,1,0.408545727,100.9470381
chr2L,84000,86000,2L,188000,190000,11,1,0.44077961,116.0592449
chr2L,84000,86000,2L,190000,192000,17,1,0.422788606,115.0685552
chr2L,84000,86000,2L,192000,194000,14,1,0.413043478,108.2367313
chr2L,84000,86000,2L,194000,196000,11,1,0.435282359,120.0594297
chr2L,84000,86000,2L,196000,198000,13,1,0.428035982,118.9888324
chr2L,84000,86000,2L,198000,2.00E+05,7,1,0.435782109,115.2306215
chr2L,84000,86000,2L,2.00E+05,202000,14,1.5,0.400049975,107.6574199
chr2L,84000,86000,2L,202000,204000,18,4,0.347826087,190.7806827
chr2L,84000,86000,2L,204000,206000,26,1.5,0.423788106,132.1083185
chr2L,84000,86000,2L,206000,208000,12,3.5,0.394052974,209.0025102
chr2L,84000,86000,2L,208000,210000,21,1.5,0.433533233,108.7808339
chr2L,84000,86000,2L,210000,212000,8,1,0.35832084,103.8761183
chr2L,84000,86000,2L,212000,214000,17,1,0.454022989,121.6282878
chr2L,84000,86000,2L,214000,216000,12,1,0.44027986,113.463458
chr2L,84000,86000,2L,216000,218000,13,1,0.417291354,116.0158063
chr2L,84000,86000,2L,218000,220000,10,1,0.389305347,100.5910613
chr2L,84000,86000,2L,220000,222000,11,6.5,0.384057971,218.8252303
chr2L,84000,86000,2L,222000,224000,9,18,0.413293353,430.4705675
chr2L,84000,86000,2L,224000,226000,0,2.5,0.409545227,385.6670928
chr2L,86000,88000,2L,86000,88000,466,3,0.372813593,235.4203615
chr2L,86000,88000,2L,88000,90000,1145,2.5,0.374812594,174.7678192
chr2L,86000,88000,2L,90000,92000,559,1.5,0.393303348,163.3049317
chr2L,86000,88000,2L,92000,94000,718,2.5,0.369065467,156.5662006
chr2L,86000,88000,2L,94000,96000,449,4.5,0.38005997,219.7797304
chr2L,86000,88000,2L,96000,98000,344,3,0.394802599,161.4352488
chr2L,86000,88000,2L,98000,1.00E+05,312,2,0.387556222,163.9263106
chr2L,86000,88000,2L,1.00E+05,102000,320,2,0.368315842,171.6942077
chr2L,86000,88000,2L,102000,104000,195,2,0.409295352,355.8850812
chr2L,86000,88000,2L,104000,106000,216,1.5,0.394052974,341.5553769
chr2L,86000,88000,2L,106000,108000,184,3.5,0.396551724,388.8147953
chr2L,86000,88000,2L,108000,110000,92,5.5,0.413043478,594.6232235
chr2L,86000,88000,2L,110000,112000,102,2.5,0.390554723,173.2372304
chr2L,86000,88000,2L,112000,114000,88,1.5,0.392803598,171.3065457
chr2L,86000,88000,2L,114000,116000,119,8,0.361569215,266.1267342
chr2L,86000,88000,2L,116000,118000,141,2,0.375812094,160.4389935
chr2L,86000,88000,2L,118000,120000,85,1.5,0.398550725,198.4044799
chr2L,86000,88000,2L,120000,122000,133,3,0.402298851,693.8150638
chr2L,86000,88000,2L,122000,124000,99,3.5,0.370564718,234.9839789
chr2L,86000,88000,2L,124000,126000,92,2,0.404047976,239.720419
chr2L,86000,88000,2L,126000,128000,8,2.5,0.40029985,185.8065515
chr2L,86000,88000,2L,128000,130000,88,6.5,0.41904048,918.1119014
chr2L,86000,88000,2L,130000,132000,17,5,0.386556722,368.6832801
chr2L,86000,88000,2L,132000,134000,58,3,0.447526237,335.9818895
chr2L,86000,88000,2L,134000,136000,42,2,0.367566217,253.2490681
chr2L,86000,88000,2L,136000,138000,63,2.5,0.382808596,269.9654865
chr2L,86000,88000,2L,138000,140000,66,2,0.388055972,172.8875907
chr2L,86000,88000,2L,140000,142000,70,3,0.413043478,177.1242178
chr2L,86000,88000,2L,142000,144000,74,11.5,0.429285357,407.0040671
chr2L,86000,88000,2L,144000,146000,45,2.5,0.425787106,180.0260458
chr2L,86000,88000,2L,146000,148000,46,4.5,0.416791604,164.6365053
chr2L,86000,88000,2L,148000,150000,52,2,0.416541729,163.9588254
chr2L,86000,88000,2L,150000,152000,39,1.5,0.414042979,162.7210578
chr2L,86000,88000,2L,152000,154000,56,2,0.427786107,164.3234253
chr2L,86000,88000,2L,154000,156000,45,3,0.412293853,319.0597738
chr2L,86000,88000,2L,156000,158000,59,2,0.396801599,259.4737362
chr2L,86000,88000,2L,158000,160000,32,5.5,0.378810595,574.1907273
chr2L,86000,88000,2L,160000,162000,4,9.5,0.394802599,1952.399897
chr2L,86000,88000,2L,162000,164000,18,2.5,0.370064968,516.7214079
chr2L,86000,88000,2L,164000,166000,34,2,0.368065967,369.6764818
chr2L,86000,88000,2L,166000,168000,16,2,0.374562719,1078.377058
chr2L,86000,88000,2L,168000,170000,19,3,0.370064968,374.1483312
chr2L,86000,88000,2L,170000,172000,23,2,0.349075462,186.7475221
chr2L,86000,88000,2L,172000,174000,35,2.5,0.363568216,153.5699311
chr2L,86000,88000,2L,174000,176000,10,1.5,0.351574213,151.1953645
chr2L,86000,88000,2L,176000,178000,17,2,0.348075962,146.5165637
chr2L,86000,88000,2L,178000,180000,17,2.5,0.383558221,161.1482557
chr2L,86000,88000,2L,180000,182000,13,1.5,0.394802599,174.0453233
chr2L,86000,88000,2L,182000,184000,6,5,0.368565717,313.0553043
chr2L,86000,88000,2L,184000,186000,17,2,0.452023988,171.0966696
chr2L,86000,88000,2L,186000,188000,13,1.5,0.408045977,157.6812774
chr2L,86000,88000,2L,188000,190000,17,1.5,0.44027986,172.7934842
chr2L,86000,88000,2L,190000,192000,13,1.5,0.422288856,171.8027944
chr2L,86000,88000,2L,192000,194000,6,1.5,0.412543728,164.9709706
chr2L,86000,88000,2L,194000,196000,15,1.5,0.434782609,176.793669
chr2L,86000,88000,2L,196000,198000,13,1.5,0.427536232,175.7230717
chr2L,86000,88000,2L,198000,2.00E+05,16,1.5,0.435282359,171.9648608
chr2L,86000,88000,2L,2.00E+05,202000,12,2,0.399550225,164.3916592
chr2L,86000,88000,2L,202000,204000,16,4.5,0.347326337,247.514922
chr2L,86000,88000,2L,204000,206000,23,2,0.423288356,188.8425578
chr2L,86000,88000,2L,206000,208000,17,4,0.393553223,265.7367495
chr2L,86000,88000,2L,208000,210000,12,2,0.433033483,165.5150732
chr2L,86000,88000,2L,210000,212000,10,1.5,0.357821089,160.6103576
chr2L,86000,88000,2L,212000,214000,20,1.5,0.453523238,178.3625271
chr2L,86000,88000,2L,214000,216000,20,1.5,0.43978011,170.1976973
chr2L,86000,88000,2L,216000,218000,11,1.5,0.416791604,172.7500456
chr2L,86000,88000,2L,218000,220000,12,1.5,0.388805597,157.3253006
chr2L,86000,88000,2L,220000,222000,5,7,0.383558221,275.5594696
chr2L,86000,88000,2L,222000,224000,12,18.5,0.412793603,487.2048068
chr2L,86000,88000,2L,224000,226000,1,3,0.409045477,442.4013321
chr2L,88000,90000,2L,88000,90000,672,2,0.376811594,114.1152769
chr2L,88000,90000,2L,90000,92000,715,1,0.395302349,102.6523894
chr2L,88000,90000,2L,92000,94000,1150,2,0.371064468,95.91365829
chr2L,88000,90000,2L,94000,96000,672,4,0.382058971,159.1271881
chr2L,88000,90000,2L,96000,98000,570,2.5,0.396801599,100.7827065
chr2L,88000,90000,2L,98000,1.00E+05,474,1.5,0.389555222,103.2737682
chr2L,88000,90000,2L,1.00E+05,102000,556,1.5,0.370314843,111.0416653
chr2L,88000,90000,2L,102000,104000,314,1.5,0.411294353,295.2325388
chr2L,88000,90000,2L,104000,106000,266,1,0.396051974,280.9028346
chr2L,88000,90000,2L,106000,108000,235,3,0.398550725,328.1622529
chr2L,88000,90000,2L,108000,110000,98,5,0.415042479,533.9706812
chr2L,88000,90000,2L,110000,112000,114,2,0.392553723,112.584688
chr2L,88000,90000,2L,112000,114000,95,1,0.394802599,110.6540033
chr2L,88000,90000,2L,114000,116000,126,7.5,0.363568216,205.4741919
chr2L,88000,90000,2L,116000,118000,147,1.5,0.377811094,99.78645122
chr2L,88000,90000,2L,118000,120000,113,1,0.400549725,137.7519375
chr2L,88000,90000,2L,120000,122000,154,2.5,0.404297851,633.1625215
chr2L,88000,90000,2L,122000,124000,144,3,0.372563718,174.3314366
chr2L,88000,90000,2L,124000,126000,91,1.5,0.406046977,179.0678766
chr2L,88000,90000,2L,126000,128000,21,2,0.402298851,125.1540091
chr2L,88000,90000,2L,128000,130000,140,6,0.42103948,857.4593591
chr2L,88000,90000,2L,130000,132000,24,4.5,0.388555722,308.0307378
chr2L,88000,90000,2L,132000,134000,73,2.5,0.449525237,275.3293472
chr2L,88000,90000,2L,134000,136000,51,1.5,0.369565217,192.5965257
chr2L,88000,90000,2L,136000,138000,65,2,0.384807596,209.3129442
chr2L,88000,90000,2L,138000,140000,71,1.5,0.390054973,112.2350484
chr2L,88000,90000,2L,140000,142000,72,2.5,0.415042479,116.4716754
chr2L,88000,90000,2L,142000,144000,83,11,0.431284358,346.3515247
chr2L,88000,90000,2L,144000,146000,54,2,0.427786107,119.3735035
chr2L,88000,90000,2L,146000,148000,43,4,0.418790605,103.983963
chr2L,88000,90000,2L,148000,150000,72,1.5,0.41854073,103.306283
chr2L,88000,90000,2L,150000,152000,66,1,0.416041979,102.0685154
chr2L,88000,90000,2L,152000,154000,62,1.5,0.429785107,103.670883
chr2L,88000,90000,2L,154000,156000,59,2.5,0.414292854,258.4072315
chr2L,88000,90000,2L,156000,158000,57,1.5,0.3988006,198.8211939
chr2L,88000,90000,2L,158000,160000,47,5,0.380809595,513.5381849
chr2L,88000,90000,2L,160000,162000,2,9,0.396801599,1891.747355
chr2L,88000,90000,2L,162000,164000,19,2,0.372063968,456.0688655
chr2L,88000,90000,2L,164000,166000,22,1.5,0.370064968,309.0239394
chr2L,88000,90000,2L,166000,168000,10,1.5,0.376561719,1017.724516
chr2L,88000,90000,2L,168000,170000,14,2.5,0.372063968,313.4957889
chr2L,88000,90000,2L,170000,172000,26,1.5,0.351074463,126.0949798
chr2L,88000,90000,2L,172000,174000,26,2,0.365567216,92.9173888
chr2L,88000,90000,2L,174000,176000,12,1,0.353573213,90.5428222
chr2L,88000,90000,2L,176000,178000,12,1.5,0.350074963,85.86402139
chr2L,88000,90000,2L,178000,180000,27,2,0.385557221,100.4957134
chr2L,88000,90000,2L,180000,182000,12,1,0.396801599,113.3927809
chr2L,88000,90000,2L,182000,184000,5,4.5,0.370564718,252.402762
chr2L,88000,90000,2L,184000,186000,16,1.5,0.454022989,110.4441272
chr2L,88000,90000,2L,186000,188000,18,1,0.410044978,97.02873511
chr2L,88000,90000,2L,188000,190000,18,1,0.442278861,112.1409419
chr2L,88000,90000,2L,190000,192000,25,1,0.424287856,111.1502521
chr2L,88000,90000,2L,192000,194000,13,1,0.414542729,104.3184282
chr2L,88000,90000,2L,194000,196000,16,1,0.436781609,116.1411266
chr2L,88000,90000,2L,196000,198000,17,1,0.429535232,115.0705294
chr2L,88000,90000,2L,198000,2.00E+05,9,1,0.437281359,111.3123185
chr2L,88000,90000,2L,2.00E+05,202000,12,1.5,0.401549225,103.7391168
chr2L,88000,90000,2L,202000,204000,20,4,0.349325337,186.8623797
chr2L,88000,90000,2L,204000,206000,21,1.5,0.425287356,128.1900155
chr2L,88000,90000,2L,206000,208000,14,3.5,0.395552224,205.0842071
chr2L,88000,90000,2L,208000,210000,24,1.5,0.435032484,104.8625309
chr2L,88000,90000,2L,210000,212000,8,1,0.35982009,99.95781527
chr2L,88000,90000,2L,212000,214000,22,1,0.455522239,117.7099847
chr2L,88000,90000,2L,214000,216000,17,1,0.44177911,109.5451549
chr2L,88000,90000,2L,216000,218000,5,1,0.418790605,112.0975033
chr2L,88000,90000,2L,218000,220000,13,1,0.390804598,96.67275827
chr2L,88000,90000,2L,220000,222000,17,6.5,0.385557221,214.9069273
chr2L,88000,90000,2L,222000,224000,8,18,0.414792604,426.5522645
chr2L,88000,90000,2L,224000,226000,3,2.5,0.411044478,381.7487897
chr2L,90000,92000,2L,90000,92000,173,0,0.413793103,91.18950192
chr2L,90000,92000,2L,92000,94000,786,1,0.389555222,84.45077081
chr2L,90000,92000,2L,94000,96000,458,3,0.400549725,147.6643006
chr2L,90000,92000,2L,96000,98000,390,1.5,0.415292354,89.31981901
chr2L,90000,92000,2L,98000,1.00E+05,290,0.5,0.408045977,91.81088076
chr2L,90000,92000,2L,1.00E+05,102000,300,0.5,0.388805597,99.57877787
chr2L,90000,92000,2L,102000,104000,173,0.5,0.429785107,283.7696514
chr2L,90000,92000,2L,104000,106000,166,0,0.414542729,269.4399471
chr2L,90000,92000,2L,106000,108000,141,2,0.417041479,316.6993654
chr2L,90000,92000,2L,108000,110000,70,4,0.433533233,522.5077937
chr2L,90000,92000,2L,110000,112000,73,1,0.411044478,101.1218005
chr2L,90000,92000,2L,112000,114000,82,0,0.413293353,99.19111585
chr2L,90000,92000,2L,114000,116000,105,6.5,0.382058971,194.0113044
chr2L,90000,92000,2L,116000,118000,84,0.5,0.396301849,88.32356374
chr2L,90000,92000,2L,118000,120000,67,0,0.41904048,126.2890501
chr2L,90000,92000,2L,120000,122000,85,1.5,0.422788606,621.699634
chr2L,90000,92000,2L,122000,124000,78,2,0.391054473,162.8685491
chr2L,90000,92000,2L,124000,126000,63,0.5,0.424537731,167.6049892
chr2L,90000,92000,2L,126000,128000,7,1,0.420789605,113.6911216
chr2L,90000,92000,2L,128000,130000,78,5,0.439530235,845.9964716
chr2L,90000,92000,2L,130000,132000,20,3.5,0.407046477,296.5678503
chr2L,90000,92000,2L,132000,134000,45,1.5,0.468015992,263.8664597
chr2L,90000,92000,2L,134000,136000,26,0.5,0.388055972,181.1336383
chr2L,90000,92000,2L,136000,138000,43,1,0.403298351,197.8500567
chr2L,90000,92000,2L,138000,140000,41,0.5,0.408545727,100.7721609
chr2L,90000,92000,2L,140000,142000,35,1.5,0.433533233,105.008788
chr2L,90000,92000,2L,142000,144000,53,10,0.449775112,334.8886373
chr2L,90000,92000,2L,144000,146000,34,1,0.446276862,107.910616
chr2L,90000,92000,2L,146000,148000,31,3,0.437281359,92.52107551
chr2L,90000,92000,2L,148000,150000,45,0.5,0.437031484,91.84339556
chr2L,90000,92000,2L,150000,152000,35,0,0.434532734,90.60562797
chr2L,90000,92000,2L,152000,154000,38,0.5,0.448275862,92.2079955
chr2L,90000,92000,2L,154000,156000,26,1.5,0.432783608,246.944344
chr2L,90000,92000,2L,156000,158000,38,0.5,0.417291354,187.3583064
chr2L,90000,92000,2L,158000,160000,32,4,0.39930035,502.0752975
chr2L,90000,92000,2L,160000,162000,7,8,0.415292354,1880.284467
chr2L,90000,92000,2L,162000,164000,17,1,0.390554723,444.605978
chr2L,90000,92000,2L,164000,166000,23,0.5,0.388555722,297.561052
chr2L,90000,92000,2L,166000,168000,3,0.5,0.395052474,1006.261628
chr2L,90000,92000,2L,168000,170000,11,1.5,0.390554723,302.0329014
chr2L,90000,92000,2L,170000,172000,16,0.5,0.369565217,114.6320923
chr2L,90000,92000,2L,172000,174000,15,1,0.384057971,81.45450132
chr2L,90000,92000,2L,174000,176000,6,0,0.372063968,79.07993472
chr2L,90000,92000,2L,176000,178000,9,0.5,0.368565717,74.40113392
chr2L,90000,92000,2L,178000,180000,20,1,0.404047976,89.03282591
chr2L,90000,92000,2L,180000,182000,15,0,0.415292354,101.9298934
chr2L,90000,92000,2L,182000,184000,0,3.5,0.389055472,240.9398745
chr2L,90000,92000,2L,184000,186000,12,0.5,0.472513743,98.98123976
chr2L,90000,92000,2L,186000,188000,5,0,0.428535732,85.56584763
chr2L,90000,92000,2L,188000,190000,13,0,0.460769615,100.6780544
chr2L,90000,92000,2L,190000,192000,10,0,0.442778611,99.68736464
chr2L,90000,92000,2L,192000,194000,6,0,0.433033483,92.85554076
chr2L,90000,92000,2L,194000,196000,11,0,0.455272364,104.6782392
chr2L,90000,92000,2L,196000,198000,10,0,0.448025987,103.6076419
chr2L,90000,92000,2L,198000,2.00E+05,5,0,0.455772114,99.84943099
chr2L,90000,92000,2L,2.00E+05,202000,7,0.5,0.42003998,92.27622937
chr2L,90000,92000,2L,202000,204000,8,3,0.367816092,175.3994922
chr2L,90000,92000,2L,204000,206000,12,0.5,0.443778111,116.727128
chr2L,90000,92000,2L,206000,208000,11,2.5,0.414042979,193.6213197
chr2L,90000,92000,2L,208000,210000,13,0.5,0.453523238,93.39964343
chr2L,90000,92000,2L,210000,212000,8,0,0.378310845,88.4949278
chr2L,90000,92000,2L,212000,214000,16,0,0.474012994,106.2470973
chr2L,90000,92000,2L,214000,216000,22,0,0.460269865,98.08226747
chr2L,90000,92000,2L,216000,218000,6,0,0.437281359,100.6346158
chr2L,90000,92000,2L,218000,220000,11,0,0.409295352,85.20987079
chr2L,90000,92000,2L,220000,222000,8,5.5,0.404047976,203.4440398
chr2L,90000,92000,2L,222000,224000,4,17,0.433283358,415.089377
chr2L,90000,92000,2L,224000,226000,0,1.5,0.429535232,370.2859023
chr2L,92000,94000,2L,92000,94000,438,2,0.365317341,77.7120397
chr2L,92000,94000,2L,94000,96000,824,4,0.376311844,140.9255695
chr2L,92000,94000,2L,96000,98000,692,2.5,0.391054473,82.5810879
chr2L,92000,94000,2L,98000,1.00E+05,571,1.5,0.383808096,85.07214966
chr2L,92000,94000,2L,1.00E+05,102000,546,1.5,0.364567716,92.84004676
chr2L,92000,94000,2L,102000,104000,310,1.5,0.405547226,277.0309203
chr2L,92000,94000,2L,104000,106000,299,1,0.390304848,262.701216
chr2L,92000,94000,2L,106000,108000,245,3,0.392803598,309.9606343
chr2L,92000,94000,2L,108000,110000,102,5,0.409295352,515.7690626
chr2L,92000,94000,2L,110000,112000,136,2,0.386806597,94.38306944
chr2L,92000,94000,2L,112000,114000,132,1,0.389055472,92.45238474
chr2L,92000,94000,2L,114000,116000,154,7.5,0.357821089,187.2725733
chr2L,92000,94000,2L,116000,118000,186,1.5,0.372063968,81.58483263
chr2L,92000,94000,2L,118000,120000,103,1,0.394802599,119.5503189
chr2L,92000,94000,2L,120000,122000,154,2.5,0.398550725,614.9609029
chr2L,92000,94000,2L,122000,124000,120,3,0.366816592,156.129818
chr2L,92000,94000,2L,124000,126000,85,1.5,0.40029985,160.8662581
chr2L,92000,94000,2L,126000,128000,14,2,0.396551724,106.9523905
chr2L,92000,94000,2L,128000,130000,105,6,0.415292354,839.2577405
chr2L,92000,94000,2L,130000,132000,25,4.5,0.382808596,289.8291192
chr2L,92000,94000,2L,132000,134000,74,2.5,0.443778111,257.1277286
chr2L,92000,94000,2L,134000,136000,50,1.5,0.363818091,174.3949072
chr2L,92000,94000,2L,136000,138000,51,2,0.37906047,191.1113256
chr2L,92000,94000,2L,138000,140000,61,1.5,0.384307846,94.03342978
chr2L,92000,94000,2L,140000,142000,67,2.5,0.409295352,98.27005685
chr2L,92000,94000,2L,142000,144000,79,11,0.425537231,328.1499061
chr2L,92000,94000,2L,144000,146000,37,2,0.422038981,101.1718849
chr2L,92000,94000,2L,146000,148000,46,4,0.413043478,85.7823444
chr2L,92000,94000,2L,148000,150000,56,1.5,0.412793603,85.10466445
chr2L,92000,94000,2L,150000,152000,65,1,0.410294853,83.86689686
chr2L,92000,94000,2L,152000,154000,59,1.5,0.424037981,85.4692644
chr2L,92000,94000,2L,154000,156000,52,2.5,0.408545727,240.2056129
chr2L,92000,94000,2L,156000,158000,60,1.5,0.393053473,180.6195753
chr2L,92000,94000,2L,158000,160000,39,5,0.375062469,495.3365664
chr2L,92000,94000,2L,160000,162000,6,9,0.391054473,1873.545736
chr2L,92000,94000,2L,162000,164000,19,2,0.366316842,437.8672469
chr2L,92000,94000,2L,164000,166000,23,1.5,0.364317841,290.8223209
chr2L,92000,94000,2L,166000,168000,12,1.5,0.370814593,999.5228971
chr2L,92000,94000,2L,168000,170000,12,2.5,0.366316842,295.2941703
chr2L,92000,94000,2L,170000,172000,20,1.5,0.345327336,107.8933612
chr2L,92000,94000,2L,172000,174000,28,2,0.35982009,74.71577021
chr2L,92000,94000,2L,174000,176000,13,1,0.347826087,72.34120361
chr2L,92000,94000,2L,176000,178000,13,1.5,0.344327836,67.66240281
chr2L,92000,94000,2L,178000,180000,20,2,0.379810095,82.29409481
chr2L,92000,94000,2L,180000,182000,21,1,0.391054473,95.19116234
chr2L,92000,94000,2L,182000,184000,4,4.5,0.364817591,234.2011434
chr2L,92000,94000,2L,184000,186000,18,1.5,0.448275862,92.24250866
chr2L,92000,94000,2L,186000,188000,20,1,0.404297851,78.82711653
chr2L,92000,94000,2L,188000,190000,16,1,0.436531734,93.93932328
chr2L,92000,94000,2L,190000,192000,25,1,0.41854073,92.94863353
chr2L,92000,94000,2L,192000,194000,13,1,0.408795602,86.11680965
chr2L,92000,94000,2L,194000,196000,14,1,0.431034483,97.93950806
chr2L,92000,94000,2L,196000,198000,10,1,0.423788106,96.86891082
chr2L,92000,94000,2L,198000,2.00E+05,13,1,0.431534233,93.11069988
chr2L,92000,94000,2L,2.00E+05,202000,16,1.5,0.395802099,85.53749826
chr2L,92000,94000,2L,202000,204000,29,4,0.343578211,168.6607611
chr2L,92000,94000,2L,204000,206000,17,1.5,0.41954023,109.9883969
chr2L,92000,94000,2L,206000,208000,13,3.5,0.389805097,186.8825886
chr2L,92000,94000,2L,208000,210000,19,1.5,0.429285357,86.66091232
chr2L,92000,94000,2L,210000,212000,12,1,0.354072964,81.75619669
chr2L,92000,94000,2L,212000,214000,13,1,0.449775112,99.50836615
chr2L,92000,94000,2L,214000,216000,24,1,0.436031984,91.34353636
chr2L,92000,94000,2L,216000,218000,12,1,0.413043478,93.89588469
chr2L,92000,94000,2L,218000,220000,17,1,0.385057471,78.47113968
chr2L,92000,94000,2L,220000,222000,10,6.5,0.379810095,196.7053087
chr2L,92000,94000,2L,222000,224000,10,18,0.409045477,408.3506459
chr2L,92000,94000,2L,224000,226000,2,2.5,0.405297351,363.5471712
chr2L,94000,96000,2L,94000,96000,458,6,0.387306347,204.1390993
chr2L,94000,96000,2L,96000,98000,1381,4.5,0.402048976,145.7946177
chr2L,94000,96000,2L,98000,1.00E+05,1106,3.5,0.394802599,148.2856795
chr2L,94000,96000,2L,1.00E+05,102000,1181,3.5,0.375562219,156.0535766
chr2L,94000,96000,2L,102000,104000,587,3.5,0.416541729,340.2444501
chr2L,94000,96000,2L,104000,106000,538,3,0.40129935,325.9147458
chr2L,94000,96000,2L,106000,108000,358,5,0.403798101,373.1741641
chr2L,94000,96000,2L,108000,110000,203,7,0.420289855,578.9825924
chr2L,94000,96000,2L,110000,112000,205,4,0.397801099,157.5965992
chr2L,94000,96000,2L,112000,114000,202,3,0.400049975,155.6659145
chr2L,94000,96000,2L,114000,116000,278,9.5,0.368815592,250.4861031
chr2L,94000,96000,2L,116000,118000,228,3.5,0.383058471,144.7983624
chr2L,94000,96000,2L,118000,120000,164,3,0.405797101,182.7638487
chr2L,94000,96000,2L,120000,122000,223,4.5,0.409545227,678.1744327
chr2L,94000,96000,2L,122000,124000,194,5,0.377811094,219.3433478
chr2L,94000,96000,2L,124000,126000,117,3.5,0.411294353,224.0797879
chr2L,94000,96000,2L,126000,128000,31,4,0.407546227,170.1659203
chr2L,94000,96000,2L,128000,130000,112,8,0.426286857,902.4712703
chr2L,94000,96000,2L,130000,132000,22,6.5,0.393803098,353.042649
chr2L,94000,96000,2L,132000,134000,54,4.5,0.454772614,320.3412584
chr2L,94000,96000,2L,134000,136000,53,3.5,0.374812594,237.6084369
chr2L,94000,96000,2L,136000,138000,68,4,0.390054973,254.3248554
chr2L,94000,96000,2L,138000,140000,63,3.5,0.395302349,157.2469596
chr2L,94000,96000,2L,140000,142000,56,4.5,0.420289855,161.4835866
chr2L,94000,96000,2L,142000,144000,91,13,0.436531734,391.3634359
chr2L,94000,96000,2L,144000,146000,38,4,0.433033483,164.3854147
chr2L,94000,96000,2L,146000,148000,32,6,0.424037981,148.9958742
chr2L,94000,96000,2L,148000,150000,79,3.5,0.423788106,148.3181942
chr2L,94000,96000,2L,150000,152000,77,3,0.421289355,147.0804267
